 ,Area,Mean,Min,Max
498,291,518.718,467,586
499,295,534.725,466,658
500,759,557.556,454,962
501,685,543.150,455,746
502,101,511.050,475,552
503,195,514.487,470,578
504,273,524.407,471,613
505,72,514.472,471,576
506,281,525.961,467,604
507,32,507.219,477,537
508,720,573.865,440,913
509,24,504.000,480,528
510,5861,585.525,449,2011
511,176,520.648,458,638
512,150,530.233,469,628
513,243,532.247,469,880
514,14,526.429,487,561
515,26,510.308,483,539
516,399,540.138,461,670
517,9329,601.474,463,1124
518,208,525.500,454,614
519,3892,567.957,469,808
520,395,524.795,462,627
521,8,506.625,491,517
522,126,529.095,461,634
523,557,520.127,456,626
524,159,537.755,458,659
525,54,517.722,474,558
526,99,547.455,466,676
527,349,539.060,462,662
528,125,534.176,470,671
529,142,545.768,442,649
530,187,526.273,459,609
531,151,543.490,432,696
532,518,536.286,455,746
533,127,512.024,471,562
534,223,551.870,457,817
535,32,528.438,492,576
536,130,538.400,467,649
537,207,529.203,478,587
538,138,540.536,461,646
539,154,522.929,475,600
540,1241,555.645,449,845
541,107,520.112,474,609
542,235,551.528,463,1741
543,57,519.579,468,571
544,99,527.424,465,598
545,243,545.247,461,707
546,61,523.541,482,568
547,246,558.687,440,820
548,15,515.933,491,534
549,73,530.740,473,590
550,10,532.600,493,599
551,297,520.519,469,636
552,3741,597.760,450,972
553,3401,606.055,480,870
554,48,518.104,472,593
555,110,536.018,475,608
556,56,506.429,470,539
557,145,535.607,467,609
558,18,511.056,479,545
559,100,542.010,465,629
560,76,553.645,481,677
561,2157,577.661,452,791
562,631,575.685,443,826
563,469,543.456,459,717
564,250,528.524,470,624
565,837,532.632,446,702
566,346,548.916,447,926
567,43732,631.917,448,1469
568,6,514.833,494,540
569,46,519.870,481,552
570,383,538.141,470,645
571,160,517.469,473,562
572,74,522.014,471,565
573,627,552.188,454,711
574,104,525.462,484,625
575,82,552.390,468,658
576,272,533.165,463,672
577,22,527.955,503,557
578,478,539.845,465,1286
579,41,518.512,466,650
580,38,518.447,478,556
581,511,541.691,446,705
582,70,527.843,472,584
583,5,500.200,465,536
584,78,537.244,443,661
585,2,522.500,514,531
586,169,556.166,481,650
587,1109,589.218,462,791
588,89,513.337,483,544
589,425,542.678,463,695
590,17845,590.929,450,1152
591,331,558.716,449,710
592,200,577.780,459,750
593,263,559.392,450,699
594,6,513.667,504,520
595,319,531.050,450,635
596,215,516.581,473,572
597,178,540.753,445,661
598,29,525.517,488,565
599,220,554.782,470,632
600,77,523.675,467,572
601,149,518.027,465,565
602,3,523.667,511,536
603,17,513.941,476,539
604,288,582.052,468,713
605,51,519.549,482,582
606,44,536.659,488,613
607,34,539.618,499,602
608,95,503.747,461,538
609,285,580.993,468,775
610,2,520.500,516,525
611,132,517.477,456,580
612,1328,543.945,450,776
613,19,523.579,486,551
614,549,570.058,456,916
615,188,524.271,464,633
616,110,517.445,474,598
617,13,520.692,499,552
618,300,527.170,467,594
619,338,552.787,452,673
620,76,543.776,457,677
621,53,534.170,488,588
622,181,518.729,462,605
623,6584,605.120,416,1045
624,2,506.000,496,516
625,278,521.914,465,595
626,192,524.068,469,579
627,952,559.179,456,913
628,85852,739.962,304,2980
629,417,546.640,467,658
630,52,537.327,483,596
631,127,526.677,475,595
632,2,498.500,495,502
633,28,541.607,487,587
634,147,550.408,455,633
635,74,534.000,457,617
636,139,537.784,471,620
637,17709,586.799,452,1079
638,11,510.727,489,530
639,106,535.330,454,629
640,70,534.629,457,580
641,165,522.655,473,579
642,94,526.596,456,614
643,532,531.697,465,660
644,294,529.306,462,623
645,3311,694.978,444,1065
646,18,508.000,491,532
647,88,543.364,466,761
648,1134,581.789,442,1509
649,205,531.454,467,625
650,74,531.041,471,630
651,692,556.613,452,969
652,27,526.778,493,551
653,19,513.684,486,548
654,33,513.697,473,549
655,29,534.724,497,628
656,183,565.027,458,757
657,37,516.946,482,566
658,37,519.757,488,564
659,24,523.333,488,561
660,88,563.125,450,745
661,21,549.333,523,581
662,420,519.943,456,629
663,305,557.607,456,780
664,266,520.350,466,592
665,861,636.587,452,957
666,380,540.158,462,693
667,748,537.865,464,668
668,3465,707.278,440,1427
669,451,536.430,458,673
670,214,535.537,463,632
671,11959,594.305,459,1313
672,725,578.421,455,817
673,108,524.574,466,608
674,116,588.319,456,737
675,7412,584.751,453,917
676,9,530.111,481,569
677,26,506.269,479,527
678,31,523.226,495,559
679,203,530.236,458,639
680,12,535.250,517,561
681,74,566.446,461,676
682,256,578.344,462,779
683,101,541.525,471,643
684,943,933.924,445,1569
685,697,609.571,458,968
686,171,534.363,469,604
687,52,530.442,480,580
688,50,512.140,459,559
689,242,545.149,450,783
690,2423,661.989,437,1226
691,161,535.783,452,662
692,67601,737.793,283,2912
693,1129,669.329,468,1535
694,4,530.250,513,552
695,328,539.290,472,651
696,207,537.671,458,665
697,1697,603.527,456,1147
698,4787,577.046,452,1035
699,44,537.750,474,599
700,4460,585.044,444,1269
701,248,580.238,445,789
702,2756,603.896,464,997
703,173,532.237,462,660
704,47,539.702,488,595
705,3333,576.304,454,878
706,59,553.220,486,645
707,13,531.846,491,575
708,757,533.312,455,906
709,110,531.855,472,596
710,1303,591.259,457,832
711,129,533.256,445,879
712,241,524.722,470,600
713,2817,659.743,432,1203
714,18,529.556,512,548
715,136,517.360,467,580
716,70,525.929,480,585
717,11,534.455,509,568
718,64,532.312,457,616
719,5702,571.524,441,1304
720,4587,583.591,447,987
721,372,531.696,452,638
722,2150,569.353,449,1078
723,25,546.160,503,590
724,6054,576.584,443,971
725,80,537.388,457,681
726,206,530.976,473,634
727,135,645.407,444,960
728,156,537.551,444,707
729,361,551.241,466,651
730,171,526.637,453,641
731,6833,1858.398,409,4095
732,81,531.531,477,588
733,4595,686.915,467,1450
734,11,529.909,488,584
735,247,750.401,438,1218
736,216,530.125,466,607
737,34,535.029,496,582
738,7090,575.515,449,1015
739,1558,672.678,446,1094
740,42,541.905,483,605
741,32,545.500,504,592
742,29,515.897,469,559
743,41,528.171,470,602
744,22,535.864,501,571
745,226,519.363,457,584
746,11,536.273,523,548
747,8,558.375,525,582
748,1069,549.885,437,956
749,932,564.211,435,958
750,62,524.677,472,590
751,2394,649.799,452,1098
752,7,527.286,513,548
753,85,553.729,472,623
